SID,Nombre,Código,Organización,Latitud,Longitud,Altura,Medida,Valor,Confianza
703,"Codegua","AG64","agromet",-34.110277778,-70.653611111,510.0,"Temperatura",24.17,100
1353,"Los Molles","yy:00:00:00:00:3d","redmeteo",-32.213849,-71.511683,112.0,"Temperatura",17.24,100
363,"Rio Baker Desague Lago Bertrand","11530000-8","dga",-47.0667,-72.8,200.0,"Temperatura",,0
707,"Santa Cruz","AG76","agromet",-34.690833333,-71.4,171.0,"Temperatura",26.08,100
243,"Chillan Viejo","08117002-9","dga",-36.6319,-72.1267,115.0,"Temperatura",,0
790,"La Isla","AG370","agromet",-38.03,-72.982,70.0,"Temperatura",19.95,100
308,"Río Allipen en los Laureles","09404001-9","dga",-38.9833,-72.2333,190.0,"Temperatura",,0
654,"El Monte","AG56","agromet",-33.691944444,-71.100833333,213.0,"Temperatura",22.8,100
1265,"Azapa","01310019-5","dga",-18.5156,-70.1806,365.0,"Temperatura",,0
309,"Río Trancura en Curarrehue","09412001-2","dga",-39.36,-71.5808,400.0,"Temperatura",,0
179,"Embalse Rapel  LLallauquen","06053001-7","dga",-34.22888888888889,-71.45222222222222,120.0,"Temperatura",,0
858,"General Freire, Curicó Ad.","AG305","agromet",-34.96638889,-71.21666667,227.0,"Temperatura",,0
274,"Angol","08358002-K","dga",-37.7794,-72.6372,113.0,"Temperatura",,0
126,"Río Colorado antes Junta Río Olivares","05705001-2","dga",-33.49,-70.1342,1500.0,"Temperatura",,0
1312,"Surire","AG150","agromet",-18.794647,-69.084442833,4265.0,"Temperatura",,0
86,"Quebrada Larga","04520006-K","dga",-30.7253,-70.2917,3500.0,"Temperatura",,0
1401,"Lord Cochrane Ad.","470001","dmc",-47.24389,-72.5825,209.0,"Temperatura",,0
1140,"Islote Pájaros","CEAZA_MARIP_Islote Pájaros","ceaza",-29.5851,-71.5375,41.0,"Temperatura",,0
465,"Nilahue - La Quebrada","340066","dmc",-34.6314,-71.725,81.0,"Temperatura",,0
735,"Mulchén","AG116","agromet",-37.703611111,-72.216944444,180.0,"Temperatura",23.2,100
5,"Colchane","01041003-7","dga",-19.2764,-68.6378,3700.0,"Temperatura",,0
365,"Cochrane en Cochrane","11536001-9","dga",-47.2517,-72.5644,140.0,"Temperatura",,0
1446,"El Buchen","yy:00:00:00:00:6a","redmeteo",-35.28,-70.97,1300.0,"Temperatura",19.71,100
144,"Apr Colina las Canteras","05736008-9","dga",-33.28972222222222,-76.69638888888889,0.0,"Temperatura",,0
1457,"Villa Alemana","yy:00:00:00:00:6b","redmeteo",-33.048,-71.351,165.0,"Temperatura",19.45,100
184,"Potrero Grande","07116005-K","dga",-35.1833,-71.0978,445.0,"Temperatura",,0
283,"Cn Abanico Km 049","08375002-2","dga",-37.3344,-71.5336,890.0,"Temperatura",,0
1367,"El Oasis","AG688","agromet",-33.286268,-70.83606,487.0,"Temperatura",25.59,100
412,"Cerro Mirador","12586006-0","dga",-53.1842,-71.0833,580.0,"Temperatura",,0
1270,"Cerro Sombrero, Estrecho de magallanes","520030","dmc",-52.77639,-69.28805,64.0,"Temperatura",11.33,100
584,"Nogales","AG34","agromet",-32.736388889,-71.199166667,224.0,"Temperatura",21.4,100
266,"Embalse Central Angostura","08317006-9","dga",-37.7131,-71.8172,324.0,"Temperatura",,0
192,"Río Maule en Desague Laguna Del Maule","07300001-7","dga",-36.0114,-70.5547,2170.0,"Temperatura",,0
143,"Quebrada de Macul","05730039-6","dga",-33.5017,-70.5144,950.0,"Temperatura",,0
212,"Cn Maule S en Aforador","07322002-5","dga",-35.6389,-71.3839,315.0,"Temperatura",,0
167,"Termas del Flaco","06020001-7","dga",-34.891666666666666,-70.32972222222222,2650.0,"Temperatura",,0
7,"Río Caracarani en Humapalca","01201005-2","dga",-17.8428,-69.6994,3908.0,"Temperatura",,0
418,"Río Penitente en Morro Chico","12622001-4","dga",-52.0511,-71.4247,170.0,"Temperatura",,0
1472,"Salamanca Pisco Capel","310044","dmc",-31.78722,-70.95944,516.0,"Temperatura",,0
1103,"Pailahueque","AG648","agromet",-38.145552,-72.6596649,188.0,"Temperatura",18.83,100
1363,"Temuco sector Norte","yy:00:00:00:00:49","redmeteo",-38.698183,-72.552011,120.0,"Temperatura",,0
373,"Lago O","11702000-2","dga",-48.5169,-72.5953,300.0,"Temperatura",,0
596,"Los Perales","AG385","agromet",-32.333038,-70.744202,810.0,"Temperatura",,0
245,"Canal de la Luz en Chillan","08117009-6","dga",-36.5967,-72.1003,136.0,"Temperatura",,0
1373,"Curicó Sector Sur","yy:00:00:00:00:4e","redmeteo",-34.991133,-71.247377,210.0,"Temperatura",25.29,100
1309,"Azapa Alto","AG144","agromet",-18.577453833,-69.947264,844.0,"Temperatura",21.07,100
421,"Río Side en Cerro Sombrero","12802001-2","dga",-52.7681,-69.2772,10.0,"Temperatura",,0
854,"Monte Flor-Tucapel","AG368","agromet",-36.2448,-71.93429,155.0,"Temperatura",22.42,100
641,"Los Tilos","AG285","agromet",-33.7,-70.7,535.0,"Temperatura",23.95,100
612,"Los Libertadores","AG298","agromet",-32.84555556,-70.11916667,2954.0,"Temperatura",,0
785,"La Paz","AG523","agromet",-39.428135,-72.718521,86.0,"Temperatura",18.16,100
1480,"Santa Rita - Porvenir","AG769","agromet",-35.1725,-71.2755,279.0,"Temperatura",22.64,100
1240,"PUERTO PUYUHUAPI","11120001-7","dga",-44.3228,-72.5597,10.0,"Temperatura",,0
277,"Cn Des C Antuco","08371001-2","dga",-37.3167,-71.6667,0.0,"Temperatura",,0
40,"Canal Chunchurri Bajo","02110022-6","dga",-22.483611111111113,-68.92888888888889,2245.0,"Temperatura",,0
